neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous,year
3686281,(2014 QO434),20.5,0.2111324448,0.4721064988,Earth,26109.0840366688,70976460.14656922,False,
54357155,(2022 YT10),21.78,0.1170994827,0.2618424035,Earth,49032.5827544896,60022542.85623275,False,
3742337,(2016 CB136),18.7,0.4836764882,1.0815335068,Earth,45497.6832308954,25470790.14590364,False,
54319881,(2022 UD8),24.32,0.0363542322,0.0812905344,Earth,58125.3590434514,60558388.8879655,False,
2518810,518810 (2010 CF19),21.85,0.1133848361,0.2535362011,Earth,21998.6712171739,53058612.99329443,True,2010.0
3774559,(2017 JU1),24.9,0.0278326768,0.0622357573,Earth,48032.9151677791,53774596.91123324,False,
2439877,439877 (1999 XM141),19.69,0.3065878759,0.6855513317,Earth,66062.3663244604,29630092.158331856,True,1999.0
3720769,(2015 KH157),19.89,0.2796114661,0.6252302454,Earth,88133.9400165056,48540522.0317645,True,2015.0
3170231,(2003 YL118),21.6,0.1272198785,0.2844722965,Earth,60786.8334056704,6338341.370494011,True,2003.0
3449591,(2009 EP2),21.61,0.1266353563,0.283165265,Earth,79810.6482446177,57399477.467565335,True,2009.0
3841851,(2019 JX5),26.43,0.0137579896,0.0307638,Earth,43929.5164308835,30976179.043477096,False,
3825768,(2018 OQ),26.8,0.0116025908,0.0259441818,Earth,61540.2257161183,48316909.16448266,False,
3728523,(2015 SY),23.41,0.0552783379,0.1236061213,Earth,43644.0473436827,16260881.428155515,False,
3744155,(2016 CR247),21.82,0.1149621763,0.257063241,Earth,27280.9183203332,32543379.823324967,True,2016.0
3545981,(2010 RM82),25.9,0.0175612318,0.0392681082,Earth,61475.2422169234,19611403.15605543,False,
2357622,357622 (2005 EY95),20.32,0.229379698,0.5129085974,Earth,77458.1709819546,71757340.20394571,True,2005.0
2004450,4450 Pan (1987 SY),17.28,0.930154254,2.0798881414,Earth,63108.8987245229,6205901.149480477,True,1987.0
2326354,326354 (2000 SJ344),22.78,0.0738847787,0.1652113876,Earth,19333.4632705129,44057474.13192547,False,
54133143,(2021 FM3),26.26,0.014878357,0.0332690178,Earth,38928.9160391915,34159860.29576017,False,
3063058,(2000 WC1),22.52,0.0832827346,0.1862258558,Earth,34420.0860006048,21185580.91128394,True,2000.0
2162269,162269 (1999 VO6),16.97,1.0728894545,2.3990537526,Earth,83367.9370457777,50297927.75184198,False,
54281981,(2022 LE1),25.82,0.0182202771,0.0407417781,Earth,72933.4009054066,39793031.25083089,False,
3592308,(2012 AP10),26.5,0.0133215567,0.0297879063,Earth,38685.6365804356,33738038.3439731,False,
3869346,(2019 SV6),23.8,0.046190746,0.1032856481,Earth,95610.6451175278,62089790.59832664,False,
54073358,(2020 TT7),22.27,0.0934447651,0.2089488469,Earth,12927.2795518881,27857530.244210854,False,
54426240,(2024 CF3),26.3,0.0146067964,0.0326617897,Earth,43507.0601646534,36241873.84129604,False,
3674010,(2014 MV18),23.83,0.0455569852,0.1018685158,Earth,32006.3185887578,19540555.280319575,False,
3781644,(2017 SN10),25.7,0.0192555078,0.0430566244,Earth,14047.4786000198,8057251.235242047,False,
