"Identification.id","Identification.Name","Identification.Year","Physical.Absolute Magnitude","Physical.Size.Minimum Estimated Diameter","Physical.Size.Maximum Estimated Diameter","Physical.Hazardous","Approach.Miss Distance","Approach.Relative Velocity","Orbital.Orbiting Body"
"3686281","(2014 QO434)","2014","20.5","0.2111324448","0.4721064988","True","70976460.14656922","26109.0840366688","Earth"
"54357155","(2022 YT10)","2022","21.78","0.1170994827","0.2618424035","True","60022542.85623275","49032.5827544896","Earth"
"3742337","(2016 CB136)","2016","18.7","0.4836764882","1.0815335068","True","25470790.14590364","45497.6832308954","Earth"
"54319881","(2022 UD8)","2022","24.32","0.0363542322","0.0812905344","True","60558388.8879655","58125.3590434514","Earth"
"2518810","518810 (2010 CF19)","2010","21.85","0.1133848361","0.2535362011","True","53058612.99329443","21998.6712171739","Earth"
"3774559","(2017 JU1)","2017","24.9","0.0278326768","0.0622357573","True","53774596.91123324","48032.9151677791","Earth"
"2439877","439877 (1999 XM141)","1999","19.69","0.3065878759","0.6855513317","True","29630092.158331856","66062.3663244604","Earth"
"3720769","(2015 KH157)","2015","19.89","0.2796114661","0.6252302454","True","48540522.0317645","88133.9400165056","Earth"
"3170231","(2003 YL118)","2003","21.6","0.1272198785","0.2844722965","True","6338341.370494011","60786.8334056704","Earth"
"3449591","(2009 EP2)","2009","21.61","0.1266353563","0.283165265","True","57399477.467565335","79810.6482446177","Earth"
"3841851","(2019 JX5)","2019","26.43","0.0137579896","0.0307638","True","30976179.043477096","43929.5164308835","Earth"
"3825768","(2018 OQ)","2018","26.8","0.0116025908","0.0259441818","True","48316909.16448266","61540.2257161183","Earth"
"3728523","(2015 SY)","2015","23.41","0.0552783379","0.1236061213","True","16260881.428155515","43644.0473436827","Earth"
"3744155","(2016 CR247)","2016","21.82","0.1149621763","0.257063241","True","32543379.823324967","27280.9183203332","Earth"
"3545981","(2010 RM82)","2010","25.9","0.0175612318","0.0392681082","True","19611403.15605543","61475.2422169234","Earth"
"2357622","357622 (2005 EY95)","2005","20.32","0.229379698","0.5129085974","True","71757340.20394571","77458.1709819546","Earth"
"2004450","4450 Pan (1987 SY)","1987","17.28","0.930154254","2.0798881414","True","6205901.149480477","63108.8987245229","Earth"
"2326354","326354 (2000 SJ344)","2000","22.78","0.0738847787","0.1652113876","True","44057474.13192547","19333.4632705129","Earth"
"54133143","(2021 FM3)","2021","26.26","0.014878357","0.0332690178","True","34159860.29576017","38928.9160391915","Earth"
"3063058","(2000 WC1)","2000","22.52","0.0832827346","0.1862258558","True","21185580.91128394","34420.0860006048","Earth"
"2162269","162269 (1999 VO6)","1999","16.97","1.0728894545","2.3990537526","True","50297927.75184198","83367.9370457777","Earth"
"54281981","(2022 LE1)","2022","25.82","0.0182202771","0.0407417781","True","39793031.25083089","72933.4009054066","Earth"
